"","press","depth","tempc","cond","spcond","salinity","vel","rho","station","date","site"
"30",8.85,8.83136320319082,15.7561471462251,38977.9560546875,47818.4995196457,30.8317500476837,1504.36701081737,1022.63797623499,39,"2023-11-03 06:59:07","3"
"31",9.15,9.13066403654636,15.7652926767506,38994.3981284204,47827.938385758,30.8389905760563,1504.40902894837,1022.64286753695,39,"2023-11-03 06:59:07","3"
"32",9.45,9.42996385577193,15.7733457990857,39005.8801717301,47832.5722445431,30.8427134801804,1504.44355300156,1022.6452954138,39,"2023-11-03 06:59:07","3"
"33",9.75,9.72926338368003,15.7784543037415,39010.138671875,47831.8015456213,30.8423724872448,1504.46414757827,1022.64524735524,39,"2023-11-03 06:59:07","3"
"34",10.05,10.0285631673392,15.7834687932947,39012.4162701664,47828.7127413013,30.8403614092787,1504.48251779686,1022.64393679611,39,"2023-11-03 06:59:07","3"
"35",10.35,10.3278627911679,15.7862944602966,39018.11328125,47832.3831541403,30.8430655688741,1504.49946623111,1022.64672865186,39,"2023-11-03 06:59:07","3"
"36",10.65,10.6271624105988,15.7880020141602,39014.81640625,47826.3392169901,30.8387265552573,1504.50477994794,1022.64435592488,39,"2023-11-03 06:59:07","3"
"37",10.95,10.9264619607885,15.7885823249817,39018.451171875,47830.1143945097,30.8413657297749,1504.51461345955,1022.64759089674,39,"2023-11-03 06:59:07","3"
"38",11.25,11.2257607021561,15.7900319099426,39022.3193359375,47833.1561766022,30.8435327156849,1504.52662702542,1022.65027218086,39,"2023-11-03 06:59:07","3"
"39",11.55,11.5250587527874,15.7929520606995,39027.59375,47836.1969145152,30.8457907264328,1504.54335513133,1022.65270022472,39,"2023-11-03 06:59:07","3"
"40",11.85,11.8243555800186,15.8003724709565,39044.0807901135,47847.7014124158,30.8544053843643,1504.58152267282,1022.65902162313,39,"2023-11-03 06:59:07","3"
"41",12.15,12.1236488892397,15.8049211502075,39074.537109375,47879.6870670785,30.8775458336649,1504.62744940638,1022.67713085324,39,"2023-11-03 06:59:07","3"
"42",12.45,12.422937478572,15.8137332301911,39104.8789682034,47906.5205180452,30.8972553745507,1504.68276917998,1022.69166636427,39,"2023-11-03 06:59:07","3"
"43",12.75,12.7222209634609,15.8292837142944,39152.591796875,47946.7042219597,30.9269745109687,1504.77072837239,1022.71240496608,39,"2023-11-03 06:59:07","3"
"44",13.05,13.0214951612545,15.8371496200562,39224.130859375,48025.059565018,30.9836391910889,1504.86569901344,1022.75552933043,39,"2023-11-03 06:59:07","3"
"45",13.35,13.3207591017981,15.8435162149176,39270.5383122314,48074.384812501,31.0193669045048,1504.93181190158,1022.7829018783,39,"2023-11-03 06:59:07","3"
"46",13.65,13.6200174140676,15.8483448028564,39291.56640625,48094.4412752587,31.0339724198489,1504.96873822516,1022.79438947871,39,"2023-11-03 06:59:07","3"
"47",13.95,13.919275431627,15.8587644449538,39288.9492156032,48078.9736906197,31.0234009406045,1504.99410324144,1022.78530547159,39,"2023-11-03 06:59:07","3"
"48",14.25,14.2185349081984,15.8645457907284,39293.3937292111,48077.6097823731,31.0226738877389,1505.01631381234,1022.78480551297,39,"2023-11-03 06:59:07","3"
"49",14.55,14.5177932303503,15.8630029189625,39302.6633041754,48090.7673159979,31.0319249417355,1505.0271298927,1022.79358563897,39,"2023-11-03 06:59:07","3"
"50",14.85,14.8170500084316,15.8631223647848,39304.1586300425,48092.4564197206,31.0330387898434,1505.03375749486,1022.79574915771,39,"2023-11-03 06:59:07","3"
"51",15.15,15.1163069252691,15.8620365537394,39296.9502902162,48084.9140234789,31.0274440178104,1505.02887711173,1022.79302628658,39,"2023-11-03 06:59:07","3"
"52",15.45,15.4155638688844,15.8653704698256,39303.4936577588,48088.997121389,31.0304784703727,1505.04777232248,1022.79595524029,39,"2023-11-03 06:59:07","3"
"53",15.75,15.7148191453663,15.8717392638444,39322.5134074404,48104.7713110482,31.0421032760344,1505.08606420561,1022.80481132063,39,"2023-11-03 06:59:07","3"
"54",16.05,16.0140736733907,15.874302777377,39318.8192471591,48097.2353966624,31.0367402255774,1505.09286153699,1022.80146054063,39,"2023-11-03 06:59:07","3"
"55",16.35,16.3133289208004,15.875643567274,39316.8539641091,48093.2537482873,31.0338551841321,1505.09869456062,1022.80028295842,39,"2023-11-03 06:59:07","3"
"56",16.65,16.612584654554,15.8796360751232,39317.2594126506,48089.0526280597,31.0309774845753,1505.1128251557,1022.7985251905,39,"2023-11-03 06:59:07","3"
"57",16.95,16.9118402563241,15.8828050794441,39323.7831073514,48093.3035672783,31.0341220697238,1505.13132685479,1022.80157427492,39,"2023-11-03 06:59:07","3"
"58",17.25,17.2110953387798,15.8854604530393,39326.4824181816,48093.4811329222,31.0343075454703,1505.14480940666,1022.80246416366,39,"2023-11-03 06:59:07","3"
"59",17.55,17.510350125522,15.8784419316735,39318.3289687154,48091.7656235947,31.0325308381839,1505.125792014,1022.80398480004,39,"2023-11-03 06:59:07","3"
"60",17.8221245992144,17.7817989533246,15.8922196014656,39329.5190657422,48089.2446644454,31.0314787752625,1505.17214696291,1022.80134220693,39,"2023-11-03 06:59:07","3"
"610",1.65,1.64506597261733,15.4696776586358,39769.4285026988,49134.8471294439,31.7622656986526,1504.42276770177,1023.38382385842,33,"2023-11-03 07:45:17","3"
"710",1.95,1.94414847284714,15.4578557257646,39755.7241639309,49132.2679498972,31.7594974492733,1504.38726396629,1023.38560903911,33,"2023-11-03 07:45:17","3"
"86",2.25,2.243227159072,15.4471884734585,39776.904459869,49171.4083983497,31.7868591635019,1504.39028465573,1023.41031492736,33,"2023-11-03 07:45:17","3"
"91",2.55,2.54230230591739,15.4941440019256,39832.526657051,49183.0703411793,31.7983274371511,1504.55650562307,1023.41022070255,33,"2023-11-03 07:45:17","3"
"101",2.85,2.84138514466718,15.5657799922043,39842.3286381212,49108.2984793808,31.7491496451469,1504.72997593277,1023.35806499812,33,"2023-11-03 07:45:17","3"
"111",3.15,3.14047880365364,15.6141272489602,39868.3767068249,49081.9074634253,31.7332387519139,1504.86845390541,1023.33656370412,33,"2023-11-03 07:45:17","3"
"121",3.45,3.4395770877521,15.6414548557001,39885.8181163075,49070.3620944728,31.7266168138411,1504.95155149896,1023.32680514208,33,"2023-11-03 07:45:17","3"
"131",3.75,3.73867789551179,15.6537818713092,39888.6892643898,49059.014227334,31.7191428545224,1504.98655681563,1023.31968436064,33,"2023-11-03 07:45:17","3"
"141",4.05,4.03778024738473,15.6657258012078,39897.0561763544,49054.8925296317,31.7168490726042,1505.02633846863,1023.31662869787,33,"2023-11-03 07:45:17","3"
"151",4.35,4.33688634899468,15.6855592729797,39886.9863906238,49018.6040248361,31.6918942444533,1505.06465171841,1023.29441637855,33,"2023-11-03 07:45:17","3"
"161",4.65,4.63599747247959,15.697185361811,39882.1659470151,48998.6784005453,31.6781892033638,1505.09022329015,1023.282656697,33,"2023-11-03 07:45:17","3"
"171",4.95,4.9351113061885,15.705335628273,39880.951670772,48987.3760469273,31.6704689820636,1505.111811862,1023.27626197787,33,"2023-11-03 07:45:17","3"
"181",5.25,5.23422588857137,15.7104876867064,39887.8935532376,48989.7024327008,31.6723716563428,1505.13512223325,1023.27792354796,33,"2023-11-03 07:45:17","3"
"191",5.55,5.53334018684047,15.7125578190534,39889.5898423828,48989.294678649,31.6721031729717,1505.14626663425,1023.27859522452,33,"2023-11-03 07:45:17","3"
"201",5.85,5.83245472131667,15.717342384881,39890.8457027357,48985.0802707937,31.6692691141721,1505.16294969087,1023.27669674107,33,"2023-11-03 07:45:17","3"
"211",6.15,6.13156976070236,15.7213444735723,39892.2148436992,48981.9471328959,31.6671629039025,1505.17802128036,1023.27552994867,33,"2023-11-03 07:45:17","3"
"221",6.45,6.43068512153307,15.7250032432792,39893.9316405052,48979.6543442742,31.665639656842,1505.19269006255,1023.2748867388,33,"2023-11-03 07:45:17","3"
"231",6.75,6.7298003780837,15.7257156374569,39895.5380859176,48980.7698421685,31.6663800041192,1505.20074565677,1023.27663276197,33,"2023-11-03 07:45:17","3"
"241",7.05,7.02891585397129,15.7268028260075,39890.8339843653,48973.6871253881,31.6612381932781,1505.20317903391,1023.27377536324,33,"2023-11-03 07:45:17","3"
"251",7.35,7.32803226166477,15.7293238640084,39887.4941406232,48966.5557348853,31.6561547757692,1505.21017044879,1023.27064668978,33,"2023-11-03 07:45:17","3"
"261",7.65,7.62714904124803,15.7320737838821,39890.4707031245,48966.9037166841,31.6564747506129,1505.22412093674,1023.27162023024,33,"2023-11-03 07:45:17","3"
"271",7.95,7.9262664694573,15.7343928083377,39884.0954279644,48956.2905916212,31.6488698129017,1505.22756609778,1023.2665981692,33,"2023-11-03 07:45:17","3"
"281",8.25,8.22538449069032,15.7370262146004,39887.4882812498,48957.2901948276,31.6496515395416,1505.24168431367,1023.26795212763,33,"2023-11-03 07:45:17","3"
"291",8.55,8.52450189757877,15.737631082535,39891.1591796875,48961.0688197203,31.6523034745703,1505.25161102022,1023.27119078246,33,"2023-11-03 07:45:17","3"
"301",8.85,8.82361900075891,15.7386078834534,39889.38671875,48957.7194597163,31.6498443234668,1505.25679770496,1023.27041939437,33,"2023-11-03 07:45:17","3"
"311",9.15,9.12273568909148,15.7396912574768,39894.765625,48963.0191020142,31.6536231800162,1505.2695243843,1023.2744184761,33,"2023-11-03 07:45:17","3"
"321",9.45,9.42185232334522,15.742684841156,39891.841796875,48955.8333629728,31.648531222028,1505.27798377579,1023.27117871688,33,"2023-11-03 07:45:17","3"
"331",9.75,9.72096964883902,15.7442995088641,39890.3695653349,48952.0866061969,31.6458272342777,1505.28488441956,1023.27007836133,33,"2023-11-03 07:45:17","3"
"341",10.05,10.0200864012789,15.7459363937378,39898.5078125,48960.1066311879,31.6516018601146,1505.30164875182,1023.27548885439,33,"2023-11-03 07:45:17","3"
"351",10.35,10.3192025566681,15.7462701797485,39895.701171875,48956.2615128681,31.6487437509706,1505.30436126495,1023.2745526723,33,"2023-11-03 07:45:17","3"
"361",10.65,10.6183186523874,15.7437355855551,39893.2949257447,48956.3540902813,31.6485361633798,1505.30115580231,1023.27628643501,33,"2023-11-03 07:45:17","3"
"371",10.95,10.9174349091231,15.7392539978027,39882.341796875,48948.2966465538,31.6423305983414,1505.28492460326,1023.27384031788,33,"2023-11-03 07:45:17","3"
"381",11.25,11.2165521621176,15.7482225711209,39885.6761693612,48941.6146922061,31.6379899758651,1505.31295852427,1023.26985938439,33,"2023-11-03 07:45:17","3"
"391",11.55,11.5156702377843,15.7547663957591,39890.0350380458,48939.1040187592,31.6364963755202,1505.33668612353,1023.26860096029,33,"2023-11-03 07:45:17","3"
"401",11.85,11.814787317659,15.7568238164858,39903.1843892414,48952.765025204,31.6463619347888,1505.35949027662,1023.27706187692,33,"2023-11-03 07:45:17","3"
"411",12.15,12.1139039174937,15.7600123329827,39898.2196917327,48942.8454606321,31.6393128638014,1505.36629636852,1023.27227467115,33,"2023-11-03 07:45:17","3"
"421",12.45,12.4130212711663,15.7599284879977,39896.3039803121,48940.5961446425,31.6375774685275,1505.36899882906,1023.27229344479,33,"2023-11-03 07:45:17","3"
"431",12.75,12.7121387826195,15.7613827090052,39895.2093359681,48937.5073715964,31.6353370533587,1505.37593140055,1023.27158445703,33,"2023-11-03 07:45:17","3"
"441",13.05,13.0112560716603,15.7636519792958,39900.0202421009,48940.6840466189,31.6376631187286,1505.39068875456,1023.27420449455,33,"2023-11-03 07:45:17","3"
"451",13.35,13.310372851138,15.764672026631,39901.2846168454,48941.0102340311,31.6378547074701,1505.39907134773,1023.27546018167,33,"2023-11-03 07:45:17","3"
"461",13.65,13.6094894332028,15.7662993948186,39902.1605070772,48940.1308181395,31.637217113494,1505.4083965444,1023.27594450186,33,"2023-11-03 07:45:17","3"
"471",13.95,13.9086056687238,15.7675113677979,39905.1640625,48942.359643298,31.638791818917,1505.41897695053,1023.27822054961,33,"2023-11-03 07:45:17","3"
"481",14.25,14.2077220203086,15.7688193603959,39900.9849241612,48935.6640076292,31.6339434657836,1505.42243929105,1023.27553970313,33,"2023-11-03 07:45:17","3"
"491",14.55,14.5068383789159,15.7713157286213,39906.6686108058,48939.6379508933,31.6368585147354,1505.43858606024,1023.27856181332,33,"2023-11-03 07:45:17","3"
"501",14.85,14.8059546274221,15.7718743235858,39902.7469468639,48934.1581774925,31.6328375571659,1505.44065920627,1023.2766823223,33,"2023-11-03 07:45:17","3"
"511",15.15,15.1050714642961,15.7741327518507,39901.0980419176,48929.4257768199,31.6294650986312,1505.44879948269,1023.27492550744,33,"2023-11-03 07:45:17","3"
"521",15.45,15.4041882068222,15.7760901451111,39905.779296875,48932.8171912279,31.6319254896121,1505.46273404735,1023.27771716024,33,"2023-11-03 07:45:17","3"
"531",15.75,15.7033043404296,15.7776274670894,39908.4295470457,48934.2220550409,31.6329275964914,1505.47367003636,1023.27948104228,33,"2023-11-03 07:45:17","3"
"541",16.05,16.0024184088357,15.7727737244762,39919.4040479382,48953.5054908152,31.6463961046214,1505.47900998538,1023.29223681166,33,"2023-11-03 07:45:17","3"
"551",16.35,16.3015304459835,15.7687931472486,39914.91849771,48952.7840001854,31.6455089001118,1505.47050074933,1023.29376849207,33,"2023-11-03 07:45:17","3"
"561",16.65,16.600641565571,15.7786220275104,39932.7469670369,48962.8449682497,31.6532845819467,1505.51519949863,1023.29890430507,33,"2023-11-03 07:45:17","3"
"571",16.95,16.899751386178,15.7852454250169,39945.1669126546,48970.1195817164,31.6588451067367,1505.54730663693,1023.30304580652,33,"2023-11-03 07:45:17","3"
"581",17.25,17.1988617317535,15.7920827228599,39940.9272273585,48956.7148344887,31.6495199515101,1505.56288904193,1023.29570163683,33,"2023-11-03 07:45:17","3"
"591",17.55,17.4979729633334,15.7983427047729,39949.26171875,48959.417307503,31.65176210841,1505.59002075262,1023.29737280018,33,"2023-11-03 07:45:17","3"
"601",17.85,17.7970834502018,15.7986837464337,39953.4615696874,48964.1550913756,31.6550882791447,1505.59989736589,1023.30118647898,33,"2023-11-03 07:45:17","3"
"61",18.15,18.0961923996301,15.7969595753298,39959.9529837717,48974.1801836818,31.6620906135645,1505.60756222941,1023.30828181159,33,"2023-11-03 07:45:17","3"
"62",18.45,18.3953000712601,15.8007357065632,39965.7684116875,48976.7742169151,31.6640942802518,1505.62665084317,1023.31031897888,33,"2023-11-03 07:45:17","3"
"63",18.75,18.6944086818578,15.8073982717818,39960.2389107569,48962.002728791,31.6537719667589,1505.6405284855,1023.30224635022,33,"2023-11-03 07:45:17","3"
