"","press","depth","tempc","cond","spcond","salinity","vel","rho","station","date","site"
"321",9.45,9.44208461013809,5.58795525662061,27439.2499400106,44853.0307269746,27.6195180261418,1463.9155686568,1021.81485503566,14,"2024-02-08 08:53:33","1"
"331",9.75,9.74163026228951,5.60620239751046,27523.8622844836,44964.5172030921,27.6981558278858,1464.09439529357,1021.8764263173,14,"2024-02-08 08:53:33","1"
"341",10.05,10.0411495151843,5.62691127784117,27676.2639513557,45182.9172394862,27.849823256024,1464.37543791118,1021.99537734332,14,"2024-02-08 08:53:33","1"
"351",10.35,10.340639041112,5.6270655926354,27771.2609627626,45337.7762860842,27.9548639427298,1464.51359951026,1022.07968398092,14,"2024-02-08 08:53:33","1"
"361",10.65,10.6401179206413,5.63123111179616,27760.5394128449,45314.1098239343,27.9393914590951,1464.51594858455,1022.06842916733,14,"2024-02-08 08:53:33","1"
"371",10.95,10.9395798118055,5.65402615180352,27924.7576870361,45548.270802583,28.1023463207556,1464.81962489668,1022.19604459807,14,"2024-02-08 08:53:33","1"
"381",11.25,11.2390165703664,5.650093903808,27970.500642392,45628.7356413563,28.1562194499658,1464.87649557533,1022.24039224997,14,"2024-02-08 08:53:33","1"
"391",11.55,11.5384412777984,5.64864189508751,28011.5180092896,45697.8128185501,28.2027971661543,1464.93427414349,1022.27871701739,14,"2024-02-08 08:53:33","1"
"401",11.85,11.8378518690116,5.66899540458659,28094.6706432513,45803.05007162,28.2778371977876,1465.1168851559,1022.33717453055,14,"2024-02-08 08:53:33","1"
"411",12.15,12.1372524115949,5.67976544890879,28114.7168226427,45819.641074933,28.2908973008041,1465.18214030819,1022.34772683546,14,"2024-02-08 08:53:33","1"
"421",12.45,12.436648739478,5.69343013692916,28146.542225581,45851.0862096775,28.3145768479312,1465.27257528189,1022.36634734804,14,"2024-02-08 08:53:33","1"
"431",12.75,12.7360312666721,5.71920078916559,28254.7019212631,45988.6670151072,28.4126516255317,1465.50615205172,1022.44237411287,14,"2024-02-08 08:53:33","1"
"441",13.05,13.0354112479729,5.71032543094981,28178.7892005951,45878.363067095,28.3358615931528,1465.37799564501,1022.38412401967,14,"2024-02-08 08:53:33","1"
"451",13.35,13.3347878321822,5.71781001587707,28277.4817721644,46027.8284121633,28.4388081174269,1465.54327562163,1022.4659678526,14,"2024-02-08 08:53:33","1"
