PCA1,PCA2,date
-0.010393648035774906,0.021394859820262953,2/1/24
-0.00018404751016882264,-0.040911163648428395,2/1/24
-0.11963142656956345,0.13004376568123852,2/1/24
0.0745761218514936,-0.22768298636661505,2/1/24
1.1284006774234174,0.2500416300705456,2/1/24
0.13790633318428036,-0.17231729928794573,2/1/24
-0.04481369283330004,0.08565515581077034,2/1/24
-0.05401452837146046,-0.03284753880346882,2/1/24
-0.17678994797050138,0.16783422027665235,2/1/24
-0.22859515050383733,0.19375189115378394,2/1/24
-0.07466449436612539,0.026477148010734444,2/1/24
-0.20893408476902334,0.20799757747994388,2/1/24
0.10867597317987762,-0.15246607155327208,2/1/24
0.03355473946291964,-0.031551729870579144,2/1/24
-0.0676489740992917,0.015763330179809784,2/1/24
0.0068042454862549525,-0.16357551583010102,2/1/24
-0.19628467245958736,0.11493647329892662,2/1/24
-0.07464067713476513,0.05995387442707389,2/1/24
-0.0031294702757988556,-0.10791385680189079,2/1/24
-0.013980586748009107,-0.020930788944791966,2/1/24
0.009790155438209823,-0.19200839084325502,2/1/24
0.0037161640962162026,-0.149198242451442,2/1/24
0.08229109772367535,-0.17416388468837335,2/1/24
-0.2918381877778482,0.13666493338548572,2/1/24
0.06680468109661426,-0.008446355069654677,2/1/24
-0.016603428841022914,0.011090936393242256,2/1/24
-0.009982094817279387,-0.014754779371009481,2/1/24
-0.03761322966404164,-0.055493876645147815,2/1/24
-0.022777846195560832,0.1226566841875054,2/1/24
