PCA1,PCA2,date
-0.17342126138387062,-0.13092451803942523,6/1/23
-0.06094872707421531,-0.07617629535363361,6/1/23
-0.23961161041615525,0.33674727336503574,6/1/23
-0.24505218959166183,0.25476778327104477,6/1/23
0.05010942196780682,0.02003840214433601,6/1/23
-0.021250779020448383,-0.10335536804744161,6/1/23
-0.024257030343993506,-0.06031684620272314,6/1/23
-0.14728526917785692,-0.24380169516886122,6/1/23
-0.14587954502732717,-0.27837278211853506,6/1/23
-0.12930386610056152,-0.28531532891245237,6/1/23
-0.10697902089659428,-0.17407010775861362,6/1/23
-0.07234421214136313,-0.1433535990062612,6/1/23
0.7573207923800994,0.08586183714695028,6/1/23
0.5526217997438243,0.0019153514206636444,6/1/23
0.48709837902542047,-0.04069286954077239,6/1/23
-0.0671589362309601,-0.28510152181258724,6/1/23
-0.058092424667428054,-0.07365488566168549,6/1/23
-0.04176792905594555,0.07176636336312729,6/1/23
-0.11360477259199267,0.14611661146567845,6/1/23
-0.04225975605743722,0.05883309172115403,6/1/23
0.19011359571363903,0.01795386939787728,6/1/23
0.0797036239771107,0.08674423636516448,6/1/23
-0.19496074744177175,0.363775857322209,6/1/23
-0.1454561561258634,0.1282717951182783,6/1/23
-0.01687758681186393,0.05585979859387571,6/1/23
0.05265476018797352,0.0950114460854337,6/1/23
-0.2513610184554948,0.043772195778751175,6/1/23
-0.04259882773881932,0.13585475304557987,6/1/23
0.2199255624510051,0.047152165788900274,6/1/23
-0.04907626909525397,-0.055307013771067545,6/1/23
