Latent Variable 1,Latent Variable 2,Date
0.5694163,0.046471953,8/1/23
-0.8752439,0.7427417,8/1/23
-0.19126743,-1.261984,8/1/23
-0.45206177,1.3465384,8/1/23
-1.6800952,0.22046424,8/1/23
-0.052022804,-0.15376753,8/1/23
-0.1296584,-1.7298673,8/1/23
2.047787,-2.107403,8/1/23
0.49164712,0.41421023,8/1/23
0.53427076,1.0521094,8/1/23
0.4887641,-0.28009668,8/1/23
-0.6268178,0.36499095,8/1/23
-0.7000195,-0.60734826,8/1/23
-0.52931714,0.7404099,8/1/23
0.6497221,-0.8127125,8/1/23
0.84015644,-0.38319018,8/1/23
-0.5355039,0.4616328,8/1/23
1.1705312,-1.2331767,8/1/23
0.86647856,-0.882564,8/1/23
0.8994058,0.85500497,8/1/23
-0.67034036,-1.0512652,8/1/23
-0.7287724,0.49916044,8/1/23
-1.171755,0.39873707,8/1/23
-1.1543252,-1.2723539,8/1/23
-0.85454345,1.5914378,8/1/23
0.056274004,-1.3465774,8/1/23
-0.8383983,-0.7353872,8/1/23
-0.9188161,-0.5992122,8/1/23
-1.4037051,0.12128054,8/1/23
1.651609,0.04308113,8/1/23
1.4751375,-0.08794457,2/1/24
0.09075173,0.0304448,2/1/24
-1.084575,1.7123362,2/1/24
0.65767145,-2.4667075,2/1/24
0.8830589,0.34856552,2/1/24
0.8912327,-0.27350333,2/1/24
0.5857911,-1.1985829,2/1/24
1.089317,-0.035434637,2/1/24
1.0427656,1.1578423,2/1/24
-0.04403533,0.55871594,2/1/24
-2.0726886,0.16572978,2/1/24
-0.7427354,0.28169143,2/1/24
-0.07767792,2.0456185,2/1/24
0.8907147,0.4252911,2/1/24
0.23839268,-0.68673444,2/1/24
1.7683153,0.6562375,2/1/24
-0.9411858,-1.6354235,2/1/24
2.9749427,-0.6480634,2/1/24
0.6655903,0.33543563,2/1/24
-0.81960297,0.28627047,2/1/24
-0.008963083,-0.4056711,2/1/24
0.103744216,0.49529937,2/1/24
0.37441665,-2.176279,2/1/24
0.39285052,-1.3139355,2/1/24
-1.3836932,-0.7823557,2/1/24
0.6081451,-1.251601,2/1/24
1.4208951,0.117806144,2/1/24
0.14073667,-0.44757253,2/1/24
-0.05790974,0.93158656,2/1/24
0.19582301,1.6923317,6/1/23
1.483452,0.41117117,6/1/23
0.24716374,-0.96122485,6/1/23
1.4771248,-0.6444629,6/1/23
0.8213768,-0.0928525,6/1/23
-0.90413284,-1.4597524,6/1/23
-0.32490483,-0.29114166,6/1/23
1.3570222,-0.55050564,6/1/23
-0.2677251,-0.71525604,6/1/23
-0.8138479,1.2698776,6/1/23
-1.0048554,-0.92471504,6/1/23
-0.48612618,0.360353,6/1/23
1.0252482,-1.7884669,6/1/23
-0.4344315,-0.36930388,6/1/23
2.1308584,-1.9016563,6/1/23
1.7735133,-0.16777584,6/1/23
0.2487472,-0.18300013,6/1/23
1.6429405,-1.2564718,6/1/23
0.12974986,-0.6652639,6/1/23
0.45519418,0.423134,6/1/23
1.5800185,-0.78506386,6/1/23
-1.8994787,0.6171475,6/1/23
1.4925135,0.3690406,6/1/23
0.24698737,1.8407062,6/1/23
2.1526072,-0.15759149,6/1/23
-0.08751317,-1.5434821,6/1/23
-2.2390382,-0.3912756,6/1/23
-0.31318495,-0.81449014,6/1/23
1.202495,-0.6206374,6/1/23
0.6470482,0.64478475,6/1/23
