PCA1,PCA2,date
-0.3348921070823618,0.37448180629914807,8/1/23
-0.008378504987242756,-0.059125724758156424,8/1/23
-0.11812657491063354,0.036082702381070274,8/1/23
-0.15867536150519843,-0.04996402779285971,8/1/23
-0.18211457475422999,-0.01840823223089846,8/1/23
0.017054722856445367,-0.07291282951291621,8/1/23
-0.2782556226127534,-0.06901707048838811,8/1/23
-0.31172704507758486,-0.14846709181901038,8/1/23
-0.355019186469469,-0.1407446758171554,8/1/23
-0.2580918417187302,-0.14739592719232275,8/1/23
-0.10793688301064897,-0.11324351144038922,8/1/23
-0.2898696002349829,0.275377809291133,8/1/23
-0.1546427146431859,-0.11160483513001956,8/1/23
0.05951023441440138,-0.08078831176378232,8/1/23
0.6332585948841392,0.0007203006881410214,8/1/23
0.09817492011587935,-0.07367492928736039,8/1/23
-0.21299078406739316,0.16801472221793462,8/1/23
-0.32310876704410285,0.14242593446603027,8/1/23
-0.2504558691461664,-0.18948868518774586,8/1/23
0.13512216050509604,-0.08693597624802421,8/1/23
0.3872618587485317,-0.03871663495529668,8/1/23
0.7052320381015352,0.011912480273978997,8/1/23
0.5848310449375822,-0.0029022292810151236,8/1/23
0.4048675898622757,0.08069754117457421,8/1/23
0.5693452851946039,0.03960714944655768,8/1/23
0.40229827011822766,0.13806093852640516,8/1/23
-0.20230074580310103,-0.038624539342831395,8/1/23
-0.05943317288607679,-0.022274704357271934,8/1/23
-0.20380811400339202,0.06584493999619181,8/1/23
-0.18712924978146261,0.13106361184427948,8/1/23
