UMAP1,UMAP2,date
-2.7886572979262363,2.7628162826264298,2/1/24
-3.028078725315179,3.0635928943456525,2/1/24
-2.027740872632637,2.1863433819604077,2/1/24
-2.966020595386361,2.5689475937765445,2/1/24
-0.8882257772250396,1.5793247148970857,2/1/24
-1.2690629560368802,2.3525331679035713,2/1/24
-1.592534083859104,2.651070337956127,2/1/24
-1.3461680350266134,2.8013563449132635,2/1/24
-2.537214963926169,3.2888027029333933,2/1/24
-1.8172077383993501,2.695322382619821,2/1/24
-1.5760192456300182,1.3159988085270156,2/1/24
-2.2979874664441917,2.0275597545370405,2/1/24
-2.4468667567031943,2.5785058066397593,2/1/24
-2.2039887515767758,1.9566497387483066,2/1/24
-2.048581844992449,1.694988352506111,2/1/24
-1.1009540326631089,2.1657577252302165,2/1/24
-2.8238949747752153,2.181379068454699,2/1/24
-1.9372007591651004,1.5332273402310308,2/1/24
-1.1615880919986095,2.408679578939454,2/1/24
-1.7584187329363006,1.7711436025283203,2/1/24
-1.8230881113362787,3.1211801537787975,2/1/24
-1.4063222557399344,2.0269666848582677,2/1/24
-3.061941396857525,3.000042928941296,2/1/24
-1.9060160682879919,2.4830733292769884,2/1/24
-2.4879112452837977,2.9132687489667437,2/1/24
-2.8961385608479833,2.291290660164784,2/1/24
-1.701389748522097,1.9831678561382542,2/1/24
-1.0975802540557842,2.275967068765286,2/1/24
-2.562823675350856,1.914637735422552,2/1/24
-0.9944609442549435,0.7234873431174571,6/1/23
1.0504627929473649,-1.5682468179593991,6/1/23
0.24934243269289524,-1.7746923575297195,6/1/23
-1.3698073334373424,1.2794952200205238,6/1/23
-0.38537215009744274,-1.6060795562251333,6/1/23
1.329850671190102,-1.720608634292462,6/1/23
1.0429654652854314,-1.2287262546516833,6/1/23
0.8276823120310721,-0.6794796159851213,6/1/23
1.1057706071568012,-0.9027219793737693,6/1/23
0.6446508160386097,-0.9567932986188148,6/1/23
0.5130983660481803,-1.0306994929242719,6/1/23
0.49090374414742555,-1.5932315897027727,6/1/23
-0.2528959627987144,-1.2189345763969484,6/1/23
0.028312513539600737,-1.4448208680060994,6/1/23
-0.22552479086888066,-1.7462667310897557,6/1/23
0.5850567523820225,-0.44484644723818345,6/1/23
0.7403339002174063,-2.189439860449219,6/1/23
2.8471870946585796,-0.6019492136860136,6/1/23
0.5878078279584027,-2.108285538635019,6/1/23
0.44614147905644264,-2.372745752978601,6/1/23
0.5322942688464394,-2.012312588861169,6/1/23
-0.34656014192633156,-1.178068087014918,6/1/23
-0.27404610423446196,-1.1160877606366717,6/1/23
-0.6943159778440876,-1.1494000325731992,6/1/23
0.7013773777060928,-1.3585073170371218,6/1/23
-0.10811826797292645,-1.4955529998448274,6/1/23
0.05502897490897407,-0.9624392987013946,6/1/23
0.1333003030138511,-2.4768183615790575,6/1/23
-0.17597610587368662,-1.9639595781559662,6/1/23
-0.6947528793953159,-1.8107231398231782,6/1/23
0.132368373371341,-0.7556634904231996,8/1/23
2.0019970706166283,-1.7206580125667132,8/1/23
-0.5587986207467621,-2.060196179755768,8/1/23
1.7349302456506528,-2.0705176541091492,8/1/23
1.9312040590806288,-0.6954978217106857,8/1/23
2.0045290593675285,-2.239634458860633,8/1/23
2.2522709740133653,-0.8426828808231912,8/1/23
2.3776790346911385,-2.1645632866154227,8/1/23
2.3959142589226934,-1.702718085013755,8/1/23
1.9116694534504795,-0.9071122905237194,8/1/23
1.5440445604751647,-0.8068807739746418,8/1/23
1.5090267771343566,-0.3175948913974742,8/1/23
2.401355110159729,-1.0303444442214595,8/1/23
1.3888239824507458,-1.2719394936620882,8/1/23
-0.5651069393671428,1.3177979594145248,8/1/23
1.7206972659629411,-1.1323977917504902,8/1/23
1.3236440195438226,-0.5714765999327538,8/1/23
1.114717242376712,-0.38841473693612727,8/1/23
1.7331475735116981,-0.42239852508250175,8/1/23
2.6972106410820693,-1.2658321676099096,8/1/23
2.1166218979325278,-0.08357712718473764,8/1/23
2.7706968390823317,-0.46837789369676885,8/1/23
2.5560204755565925,-0.2727782523573392,8/1/23
1.2079969015590903,0.1381398065071242,8/1/23
3.001292949219864,-1.0603977484122815,8/1/23
0.7766218838656911,-0.05335045164898511,8/1/23
1.0386508747531378,-1.4157194254299834,8/1/23
1.7434787391173783,-1.6238567463973057,8/1/23
1.6946712159676027,-1.6488353245414493,8/1/23
2.2125100589772204,-1.346660771037822,8/1/23
